"infer_dem","infer_rep","infer_engaged","infer_agree","infer_black","infer_religious","infer_abort","infer_welfare","infer_pol","infer_engaged2","infer_agree2","infer_ideo2","vignette_warmth_1","treat_vignette","treat_vignette2","vignette","vignette2","vignette_pid","vignette_pid2","treat_vignette_loyal","rand_policy_branded","rand_policy_unbranded","respondent_pid","FL_149_DO_vignette2_infer","age","gender"
"Extremely likely","Extremely unlikely","None at all","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely unlikely","None at all","Always disagree","Very liberal","30","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who enjoys hunting,  is from Ohio, and is a Democrat. Like many Democrats, they believe that the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who listens to pop music,  works as a personal injury lawyer, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Democrat","Like","same sex couples should be allowed to adopt children.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Rep","2","69","1"
"Extremely unlikely","Slightly likely","Somewhat","Usually disagree","Moderately unlikely","Moderately likely","Moderately likely","Moderately unlikely","Extremely unlikely","A little bit","Usually disagree","Somewhat conservative","63","pid_branded","pid","Suppose you meet a person who works as a police officer,  is from South Carolina, and is a Republican. They believe that the federal government should make it easier for people to buy a gun.","Suppose you meet a man who enjoys cooking,  listens to country music, and is a Republican.","Republican","Republican","Like","the federal government should make it easier for people to buy a gun.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Dem","1","42","2"
"Extremely likely","Extremely unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderately unlikely","Moderately likely","Slightly unlikely","Extremely unlikely","Extremely unlikely","Somewhat","Sometimes agree, sometimes disagree","Somewhat liberal","50","pid_unbranded_labeled","pid_weak","Suppose you meet a person who enjoys hunting,  is from Ohio, and is a Democrat. Unlike many Democrats, they believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who listens to pop music,  works as an electrician, and is a Republican. He doesn't think the term 'Republican' describes him very well. When he talks about Republicans he uses the word 'they.' When someone criticizes Republicans, he doesn't feel like they are criticising him.","Democrat","Republican","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","1","60","2"
"Extremely unlikely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely unlikely","Extremely likely","A great deal","Usually agree","Moderate","13","pid_unbranded","pid_strong","Suppose you meet a person who is from Massachusetts,  enjoys shopping, and is a Republican. They believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who works as a personal injury lawyer,  listens to rap music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Republican","Republican","Like","same sex couples should not be allowed to adopt children.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Ind","2","44","1"
"Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Moderately likely","Extremely likely","Somewhat","Usually disagree","Somewhat conservative","70","pid_unbranded","pid","Suppose you meet a person who listens to pop music,  works as a physician's assistant, and is a Democrat. They believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who is from Ohio,  enjoys watching TV, and is a Republican.","Democrat","Republican","Like","the federal government should make it more difficult for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","2","73","2"
"Extremely likely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Slightly unlikely","Neither likely nor unlikely","Slightly likely","Moderately unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Very liberal","17","pid","pid_strong","Suppose you meet a person who is from Colorado,  listens to country music, and is a Democrat.","Suppose you meet a man who enjoys watching TV,  works as a personal injury lawyer, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","1","61","2"
"Extremely likely","Neither likely nor unlikely","A little bit","Usually agree","Extremely likely","Moderately likely","Slightly likely","Moderately likely","Extremely unlikely","A little bit","Usually agree","Very liberal","80","pid_branded","pid_weak","Suppose you meet a person who is from California,  listens to rock music, and is a Republican. They believe that same sex couples should be allowed to adopt children.","Suppose you meet a man who works as a police officer,  enjoys hunting, and is a Republican. He doesn't think the term 'Republican' describes him very well. When he talks about Republicans he uses the word 'they.' When someone criticizes Republicans, he doesn't feel like they are criticising him.","Republican","Republican","Unlike","same sex couples should be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Dem","1","28","2"
"Neither likely nor unlikely","Moderately likely","A little bit","Usually agree","Slightly likely","Moderately likely","Slightly unlikely","Slightly likely","Moderately likely","None at all","Usually agree","Moderate","85","pid_branded","pid_weak","Suppose you meet a person who is from Massachusetts,  enjoys watching sports, and is a Republican. They believe that the federal government should make it more difficult for people to buy a gun.","Suppose you meet a man who works as a personal injury lawyer,  listens to country music, and is a Republican. He doesn't think the term 'Republican' describes him very well. When he talks about Republicans he uses the word 'they.' When someone criticizes Republicans, he doesn't feel like they are criticising him.","Republican","Republican","Unlike","the federal government should make it more difficult for people to buy a gun.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Dem","1","75","1"
"Extremely likely","Moderately likely","A great deal","Always agree","Moderately likely","Extremely likely","Moderately likely","Extremely likely","Extremely likely","Somewhat","Always agree","Very liberal","74","pid_unbranded_labeled","pid","Suppose you meet a person who enjoys shopping,  is from Massachusetts, and is a Democrat. Unlike many Democrats, they believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who listens to country music,  works as a police officer, and is a Republican.","Democrat","Republican","Unlike","the federal government should make it easier for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","2","40","1"
"Extremely unlikely","Extremely unlikely","A great deal","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Slightly unlikely","Slightly likely","A little bit","Sometimes agree, sometimes disagree","Somewhat liberal","39","pid_unbranded","pid_weak","Suppose you meet a person who listens to country music,  works as an electrician, and is a Democrat. They believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who is from Ohio,  enjoys watching TV, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Democrat","Democrat","Like","the federal government should make it easier for people to buy a gun.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Ind","1","60","1"
"Extremely likely","Moderately unlikely","Somewhat","Always agree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Moderately likely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Very conservative","59","pid_unbranded","pid_strong_extreme_active","Suppose you meet a person who works as a physician's assistant,  listens to rap music, and is a Democrat. They believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who enjoys exercising,  is from Massachusetts, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Democrat","Republican","Unlike","the federal government should make it easier for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","1","40","1"
"Moderately unlikely","Moderately likely","Somewhat","Sometimes agree, sometimes disagree","Slightly unlikely","Extremely likely","Neither likely nor unlikely","Moderately likely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Moderate","39","pid_branded","pid_strong","Suppose you meet a person who enjoys watching TV,  listens to country music, and is a Republican. They believe that the federal government should make it more difficult for people to buy a gun.","Suppose you meet a man who works as an electrician,  is from South Carolina, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Republican","Republican","Like","the federal government should make it more difficult for people to buy a gun.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Dem","2","25","1"
"Slightly likely","Slightly unlikely","A little bit","Always disagree","Slightly unlikely","Slightly unlikely","Slightly unlikely","Slightly likely","Neither likely nor unlikely","A little bit","Usually disagree","Somewhat conservative","48","pid_branded","pid_strong","Suppose you meet a person who works as a police officer,  listens to rap music, and is a Republican. They believe that same sex couples should not be allowed to adopt children.","Suppose you meet a man who enjoys shopping,  is from Ohio, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Republican","Democrat","Like","same sex couples should not be allowed to adopt children.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Rep","2","25","2"
"Extremely likely","Extremely likely","A great deal","Always agree","Extremely likely","Extremely likely","Extremely likely","Slightly likely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Somewhat liberal","71","pid","pid","Suppose you meet a person who works as an electrician,  listens to rock music, and is a Democrat.","Suppose you meet a man who enjoys watching TV,  is from South Carolina, and is a Republican.","Democrat","Republican","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","1","41","1"
"Neither likely nor unlikely","Slightly likely","Somewhat","Sometimes agree, sometimes disagree","Slightly likely","Slightly likely","Moderately likely","Moderately likely","Moderately unlikely","A little bit","Usually disagree","Very liberal","30","pid_branded","pid_strong","Suppose you meet a person who is from Ohio,  listens to rock music, and is a Democrat. They believe that the federal government should make it easier for people to buy a gun.","Suppose you meet a man who works as an electrician,  enjoys exercising, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Unlike","the federal government should make it easier for people to buy a gun.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","1","67","2"
"Extremely unlikely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Somewhat liberal","70","pid_unbranded_labeled","pid_weak","Suppose you meet a person who is from California,  listens to rock music, and is a Republican. Unlike many Republicans, they believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who works as a police officer,  enjoys watching sports, and is a Republican. He doesn't think the term 'Republican' describes him very well. When he talks about Republicans he uses the word 'they.' When someone criticizes Republicans, he doesn't feel like they are criticising him.","Republican","Republican","Unlike","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","2","55","1"
"Extremely unlikely","Extremely likely","Somewhat","Always disagree","Extremely unlikely","Extremely likely","Neither likely nor unlikely","Extremely unlikely","Extremely likely","A great deal","Always disagree","Very conservative","15","pid_unbranded","pid_strong_extreme_active","Suppose you meet a person who works as a waiter,  listens to rock music, and is a Republican. They believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who is from California,  enjoys shopping, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Republican","Like","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Dem","2","34","2"
"Extremely unlikely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Moderately unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Slightly unlikely","Extremely unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","88","pid_unbranded","pid_strong_mod_inactive","Suppose you meet a person who works as a physician's assistant,  listens to rock music, and is a Republican. They believe that the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who enjoys watching sports,  is from South Carolina, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Democrat","Like","same sex couples should be allowed to adopt children.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Rep","2","61","2"
"Extremely likely","Extremely likely","A little bit","Usually agree","Extremely likely","Moderately likely","Extremely likely","Moderately likely","Extremely likely","None at all","Always agree","Somewhat liberal","54","pid_unbranded_labeled","pid_strong","Suppose you meet a person who is from South Carolina,  listens to rock music, and is a Democrat. Like many Democrats, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who works as a physician's assistant,  enjoys watching TV, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Like","the federal government should make it more difficult for people to buy a gun.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","1","26","2"
"Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Somewhat conservative","53","pid_unbranded_labeled","pid","Suppose you meet a person who listens to rock music,  works as a personal injury lawyer, and is a Republican. Like many Republicans, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who enjoys watching sports,  is from South Carolina, and is a Democrat.","Republican","Democrat","Like","the federal government should make it easier for people to buy a gun.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Ind","1","66","2"
"Extremely unlikely","Extremely likely","A little bit","Usually disagree","Neither likely nor unlikely","Slightly unlikely","Slightly likely","Extremely unlikely","Extremely unlikely","A little bit","Always disagree","Very conservative","0","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who listens to rap music,  works as an electrician, and is a Republican. Unlike many Republicans, they believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who enjoys reading,  is from California, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Republican","Unlike","same sex couples should not be allowed to adopt children.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","2","23","2"
"Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Usually disagree","Neither likely nor unlikely","Neither likely nor unlikely","Slightly unlikely","Moderately likely","Extremely likely","A little bit","Always disagree","Very liberal","7","pid_unbranded_labeled","pid_strong_extreme_active","Suppose you meet a person who works as a personal injury lawyer,  listens to rock music, and is a Democrat. Like many Democrats, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who enjoys watching sports,  is from Colorado, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Democrat","Democrat","Like","same sex couples should be allowed to adopt children.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","1","61","2"
"Extremely unlikely","Extremely likely","A little bit","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely unlikely","A little bit","Usually agree","Moderate","51","pid_unbranded","pid","Suppose you meet a person who enjoys watching sports,  listens to pop music, and is a Republican. They believe that the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who works as a personal injury lawyer,  is from California, and is a Democrat.","Republican","Democrat","Like","same sex couples should be allowed to adopt children.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Ind","1","41","2"
"Extremely unlikely","Extremely likely","A little bit","Usually disagree","Extremely unlikely","Slightly unlikely","Slightly likely","Slightly unlikely","Extremely likely","A little bit","Sometimes agree, sometimes disagree","Moderate","49","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who listens to rock music,  works as a waiter, and is a Republican. Unlike many Republicans, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who enjoys watching TV,  is from South Carolina, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Republican","Unlike","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Dem","1","34","2"
"Extremely likely","Extremely unlikely","A great deal","Usually disagree","Extremely unlikely","Slightly likely","Slightly likely","Moderately unlikely","Extremely likely","A little bit","Usually agree","Very liberal","87","pid_unbranded_labeled","pid","Suppose you meet a person who listens to country music,  is from Massachusetts, and is a Democrat. Unlike many Democrats, they believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who works as an electrician,  enjoys cooking, and is a Democrat.","Democrat","Democrat","Unlike","the federal government should make it easier for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","2","39","2"
"Extremely likely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely unlikely","Extremely likely","A little bit","Sometimes agree, sometimes disagree","Moderate","60","pid_branded","pid_strong","Suppose you meet a person who is from Massachusetts,  listens to rap music, and is a Democrat. They believe that immigrants brought to the U.S. illegally as children should be sent back to where they came from.","Suppose you meet a man who enjoys shopping,  works as a personal injury lawyer, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Democrat","Republican","Unlike","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","1","55","2"
"Moderately likely","Moderately likely","A little bit","Always agree","Moderately likely","Moderately likely","Extremely likely","Extremely likely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Moderate","93","pid_branded","pid","Suppose you meet a person who enjoys exercising,  listens to rap music, and is a Democrat. They believe that immigrants brought to the U.S. illegally as children should be sent back to where they came from.","Suppose you meet a man who is from Colorado,  works as an electrician, and is a Republican.","Democrat","Republican","Like","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","2","40","2"
"Extremely likely","Extremely unlikely","A little bit","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Very conservative","48","pid","pid_strong_extreme_active","Suppose you meet a person who is from Ohio,  enjoys cooking, and is a Democrat.","Suppose you meet a man who works as a personal injury lawyer,  listens to pop music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Democrat","Republican","Like","same sex couples should not be allowed to adopt children.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Dem","1","52","2"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","A little bit","Usually agree","Moderate","55","pid_branded","pid","Suppose you meet a person who is from California,  listens to pop music, and is a Democrat. They believe that the federal government should make it more difficult for people to buy a gun.","Suppose you meet a man who works as a police officer,  enjoys cooking, and is a Democrat.","Democrat","Democrat","Unlike","the federal government should make it more difficult for people to buy a gun.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Rep","1","23","2"
"Moderately unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderately unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Slightly likely","Neither likely nor unlikely","A little bit","Usually agree","Moderate","45","pid","pid_strong_extreme_active","Suppose you meet a person who enjoys reading,  listens to pop music, and is a Republican.","Suppose you meet a man who works as a personal injury lawyer,  is from South Carolina, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Democrat","Like","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Rep","1","30","1"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Usually disagree","Slightly unlikely","Neither likely nor unlikely","Slightly likely","Extremely unlikely","Extremely likely","None at all","Sometimes agree, sometimes disagree","Moderate","59","pid_branded","pid_strong_extreme_active","Suppose you meet a person who is from Ohio,  works as a physician's assistant, and is a Republican. They believe that immigrants brought to the U.S. illegally as children should be sent back to where they came from.","Suppose you meet a man who enjoys reading,  listens to rap music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Republican","Like","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Ind","1","40","2"
"Extremely likely","Moderately likely","A great deal","Sometimes agree, sometimes disagree","Slightly likely","Slightly likely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","52","pid_unbranded_labeled","pid_strong_extreme_active","Suppose you meet a person who works as a waiter,  listens to country music, and is a Democrat. Like many Democrats, they believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who enjoys shopping,  is from Ohio, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Democrat","Democrat","Like","same sex couples should not be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","2","22","2"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","Somewhat","Usually disagree","Very liberal","30","pid_unbranded_labeled","pid","Suppose you meet a person who listens to rap music,  is from South Carolina, and is a Republican. Unlike many Republicans, they believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who works as a personal injury lawyer,  enjoys shopping, and is a Democrat.","Republican","Democrat","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","2","56","2"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Moderate","0","pid_branded","pid_strong_mod_inactive","Suppose you meet a person who is from Colorado,  listens to country music, and is a Democrat. They believe that immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","Suppose you meet a man who enjoys cooking,  works as an electrician, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Democrat","Like","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","2","23","2"
"Neither likely nor unlikely","Extremely likely","Somewhat","Usually agree","Moderately likely","Moderately likely","Moderately likely","Extremely likely","Slightly likely","Somewhat","Usually agree","Somewhat conservative","63","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who is from Massachusetts,  listens to rap music, and is a Democrat. Like many Democrats, they believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who enjoys watching sports,  works as a police officer, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Democrat","Like","the federal government should make it more difficult for people to buy a gun.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","2","36","1"
